creation_date,el_model,yp,indices,label,matching,result_date,prediction_instance
[65][M][readings/Sat-23-12-2023/2023-12-23T10-22-45],2024_super_G,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0
  0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0]]","[30, 31, 40, 53, 58]","[17, 29, 31, 40, 47, 56, 44]","[31, 40]",Sat-23-12-2023,64
[66][M][readings/Sat-30-12-2023/2023-12-30T12-09-49],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[5, 13, 16, 29, 36]","[15, 26, 29, 37, 49, 53, 38]",[29],Sat-30-12-2023,65
[67][M][readings/Sat-30-12-2023/2023-12-30T12-25-42],2024_super_G,"[[0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
  0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[3, 5, 30, 40, 58]","[15, 26, 29, 37, 49, 53, 38]",[],Sat-30-12-2023,66
[68][M][readings/Wed-03-01-2024/2024-01-03T19-10-45],2024_super_G,"[[0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0
  0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[5, 7, 23, 31, 38]","[1, 5, 19, 27, 38, 59, 55]","[5, 38]",Wed-03-01-2024,67
[69][M][readings/Wed-03-01-2024/2024-01-03T19-25-51],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]]","[5, 22, 25, 40, 52]","[1, 5, 19, 27, 38, 59, 55]",[5],Wed-03-01-2024,68
[70][A][readings/Sat-06-01-2024/2024-01-06T13-21-22],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0]]","[5, 38, 39, 46, 53]","[2, 23, 38, 43, 53, 54, 41]","[38, 53]",Sat-06-01-2024,69
[71][M][readings/Sat-06-01-2024/2024-01-06T13-33-56],2024_super_G,"[[0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]]","[5, 8, 14, 16, 47]","[2, 23, 38, 43, 53, 54, 41]",[],Sat-06-01-2024,70
[72][L][readings/Wed-10-01-2024/2024-01-09T03-31-18],2024_super_G,"[[0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
  0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[5, 6, 8, 33, 40]","[1, 5, 15, 25, 45, 53, 2]",[5],Wed-10-01-2024,71
[73][N][readings/Sat-10-02-2024/2024-02-04T14-08-09],2024_super_G,"[[0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]]","[5, 7, 13, 28, 57]","[4, 19, 24, 29, 43, 53, 34]",[],Sat-10-02-2024,72
[74][N][readings/Sat-24-02-2024/2024-02-18T15-06-46],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0]]","[5, 16, 26, 52, 57]","[3, 4, 11, 20, 36, 56, 28]",[],Sat-24-02-2024,73
[75][M][readings/Sat-24-02-2024/2024-02-18T15-20-37],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[5, 16, 22, 28, 46]","[3, 4, 11, 20, 36, 56, 28]",[28],Sat-24-02-2024,74
[76][N][readings/Sat-24-02-2024/2024-02-18T15-42-05],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[5, 11, 19, 41, 46]","[3, 4, 11, 20, 36, 56, 28]",[11],Sat-24-02-2024,75
[77][C][readings/Wed-28-02-2024/2024-02-25T16-50-32],2024_super_G,"[[0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]]","[5, 7, 16, 28, 47]","[12, 21, 39, 44, 45, 50, 51]",[],Wed-28-02-2024,76
[78][M][readings/Wed-28-02-2024/2024-02-25T22-50-30],2024_super_G,"[[0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
  1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]]","[2, 5, 28, 36, 57]","[12, 21, 39, 44, 45, 50, 51]",[],Wed-28-02-2024,77
[79][M][readings/Sat-02-03-2024/2024-03-02T17-46-51],2024_super_G,"[[0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]]","[2, 5, 13, 26, 47]","[2, 20, 34, 40, 48, 59, 6]",[2],Sat-02-03-2024,78
[80][M][readings/Wed-06-03-2024/2024-03-06T16-51-06],2024_super_G,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
  1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[19, 21, 28, 36, 39]","[7, 11, 32, 37, 48, 58, 28]",[28],Wed-06-03-2024,79
[81][M][readings/Wed-13-03-2024/2024-03-13T18-59-03],2024_super_G,"[[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[10, 16, 28, 46, 58]","[24, 26, 28, 34, 35, 37, 48]",[28],Wed-13-03-2024,80
[82][N][readings/Wed-20-03-2024/2024-03-19T16-05-21],2024_super_G,"[[0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[5, 6, 8, 30, 33]","[8, 10, 14, 25, 29, 35, 32]",[8],Wed-20-03-2024,81
[83][N][readings/Sat-23-03-2024/2024-03-23T13-38-26],2024_super_G,"[[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0]]","[7, 38, 39, 50, 51]","[7, 15, 41, 43, 45, 50, 28]","[7, 50]",Sat-23-03-2024,82
[84][M][readings/Sat-23-03-2024/2024-03-23T15-42-04],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]]","[5, 25, 30, 31, 52]","[7, 15, 41, 43, 45, 50, 28]",[],Sat-23-03-2024,83
[85][N][readings/Sat-30-03-2024/2024-03-24T14-39-07],2024_super_G,"[[0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
  0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[5, 6, 8, 35, 40]","[15, 16, 19, 37, 49, 51, 17]",[],Sat-30-03-2024,84
[86][C][readings/Sat-30-03-2024/2024-03-24T14-55-49],2024_super_G,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0]]","[16, 31, 47, 52, 53]","[15, 16, 19, 37, 49, 51, 17]",[16],Sat-30-03-2024,85
[87][N][readings/Sat-30-03-2024/2024-03-28T14-35-35],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0]]","[5, 16, 41, 47, 52]","[15, 16, 19, 37, 49, 51, 17]",[16],Sat-30-03-2024,86
[88][M][readings/Sat-30-03-2024/2024-03-30T12-30-42],2024_super_G,"[[0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[2, 5, 14, 19, 28]","[15, 16, 19, 37, 49, 51, 17]",[19],Sat-30-03-2024,87
[89][M][readings/Sat-30-03-2024/2024-03-30T12-44-53],2024_super_G,"[[0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0]]","[5, 7, 52, 57, 58]","[15, 16, 19, 37, 49, 51, 17]",[],Sat-30-03-2024,88
[90][M][readings/Sat-30-03-2024/2024-03-30T12-58-00],2024_super_G,"[[0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
  0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[5, 6, 28, 30, 40]","[15, 16, 19, 37, 49, 51, 17]",[],Sat-30-03-2024,89
[91][N][readings/Sat-15-06-2024/2024-06-09T14-45-20],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0]]","[5, 21, 30, 47, 57]","[1, 9, 25, 29, 34, 39, 22]",[],Sat-15-06-2024,90
[92][C][readings/Sat-15-06-2024/2024-06-09T15-05-45],2024_super_G,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
  0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]]","[13, 18, 30, 40, 47]","[1, 9, 25, 29, 34, 39, 22]",[],Sat-15-06-2024,91
[93][C][readings/Sat-22-06-2024/2024-06-20T19-29-31],2024_super_G,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[5, 13, 39, 46, 58]","[5, 9, 18, 32, 44, 58, 34]","[5, 58]",Sat-22-06-2024,92
[94][N][readings/Sat-22-06-2024/2024-06-21T18-31-38],2024_super_G,"[[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0
  0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[10, 16, 26, 28, 38]","[5, 9, 18, 32, 44, 58, 34]",[],Sat-22-06-2024,93
[95][MNC][readings/Sat-13-07-2024/2024-07-12T17-59-53],2024_super_G,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0]]","[14, 16, 46, 56, 58]","[22, 27, 37, 38, 49, 51, 59]",[],Sat-13-07-2024,94
[2][C][readings/Sat-16-09-2023/2023-09-16T16-29-21],2024_super_B,"[[0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]]","[9, 11, 18, 38, 57]","[7, 17, 22, 24, 31, 59, 50]",[],Sat-16-09-2023,1
[3][M][readings/Sat-16-09-2023/2023-09-16T17-39-19],2024_super_B,"[[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
  0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]]","[6, 33, 38, 41, 47]","[7, 17, 22, 24, 31, 59, 50]",[],Sat-16-09-2023,2
[4][N][readings/Wed-20-09-2023/2023-09-17T15-26-43],2024_super_B,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1
  0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[30, 33, 35, 42, 58]","[9, 18, 34, 37, 42, 52, 50]",[42],Wed-20-09-2023,3
[5][C][readings/Wed-20-09-2023/2023-09-17T15-52-21],2024_super_B,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0]]","[17, 43, 51, 52, 57]","[9, 18, 34, 37, 42, 52, 50]",[52],Wed-20-09-2023,4
[6][A][readings/Wed-20-09-2023/2023-09-17T18-39-31],2024_super_B,"[[0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0]]","[6, 9, 42, 47, 58]","[9, 18, 34, 37, 42, 52, 50]","[9, 42]",Wed-20-09-2023,5
[7][M][readings/Wed-27-09-2023/2023-09-26T13-36-10],2024_super_B,"[[0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]]","[5, 6, 13, 43, 57]","[8, 10, 11, 20, 31, 44, 28]",[],Wed-27-09-2023,6
[8][A][readings/Wed-27-09-2023/2023-09-23T14-52-01],2024_super_B,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
  0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0]]","[19, 30, 39, 57, 58]","[8, 10, 11, 20, 31, 44, 28]",[],Wed-27-09-2023,7
[9][A][readings/Sat-30-09-2023/2023-09-24T14-21-54],2024_super_B,"[[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
  0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0]]","[8, 34, 40, 47, 58]","[1, 8, 14, 20, 24, 40, 52]","[8, 40]",Sat-30-09-2023,8
[10][N_O][readings/Sat-30-09-2023/2023-09-24T15-16-29],2024_super_B,"[[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0]]","[6, 17, 31, 46, 49]","[1, 8, 14, 20, 24, 40, 52]",[],Sat-30-09-2023,9
[11][C_O][readings/Sat-30-09-2023/2023-09-24T15-43-16],2024_super_B,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0]]","[5, 43, 52, 57, 58]","[1, 8, 14, 20, 24, 40, 52]",[52],Sat-30-09-2023,10
[12][N_N][readings/Sat-30-09-2023/2023-09-29T18-34-28],2024_super_B,"[[0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[4, 6, 28, 30, 45]","[1, 8, 14, 20, 24, 40, 52]",[],Sat-30-09-2023,11
[13][C_N][readings/Sat-30-09-2023/2023-09-29T17-06-27],2024_super_B,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0]]","[24, 29, 30, 45, 49]","[1, 8, 14, 20, 24, 40, 52]",[24],Sat-30-09-2023,12
[14][A][readings/Wed-04-10-2023/2023-10-01T14-41-53],2024_super_B,"[[0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[8, 11, 27, 30, 58]","[3, 8, 37, 42, 53, 55, 46]",[8],Wed-04-10-2023,13
[15][N][readings/Wed-04-10-2023/2023-10-01T15-36-03],2024_super_B,"[[0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
  0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[3, 6, 30, 43, 46]","[3, 8, 37, 42, 53, 55, 46]","[3, 46]",Wed-04-10-2023,14
[16][C][readings/Wed-04-10-2023/2023-10-01T15-55-25],2024_super_B,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
  0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[5, 29, 39, 45, 58]","[3, 8, 37, 42, 53, 55, 46]",[],Wed-04-10-2023,15
[17][C][readings/Sat-07-10-2023/2023-10-05T16-28-38],2024_super_B,"[[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0]]","[10, 38, 39, 47, 58]","[10, 16, 20, 22, 47, 52, 26]","[10, 47]",Sat-07-10-2023,16
[18][M][readings/Sat-07-10-2023/2023-10-06T22-34-23],2024_super_B,"[[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0]]","[6, 42, 45, 47, 58]","[10, 16, 20, 22, 47, 52, 26]",[47],Sat-07-10-2023,17
[19][A][readings/Wed-11-10-2023/2023-10-08T15-07-11],2024_super_B,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
  0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0]]","[28, 39, 46, 47, 58]","[3, 8, 15, 18, 23, 25, 58]",[58],Wed-11-10-2023,18
[20][N][readings/Wed-11-10-2023/2023-10-08T15-57-38],2024_super_B,"[[0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0]]","[5, 7, 39, 57, 58]","[3, 8, 15, 18, 23, 25, 58]",[58],Wed-11-10-2023,19
[21][M][readings/Wed-11-10-2023/2023-10-11T12-49-22],2024_super_B,"[[0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[6, 9, 18, 25, 58]","[3, 8, 15, 18, 23, 25, 58]","[18, 25, 58]",Wed-11-10-2023,20
[22][M][readings/Sat-14-10-2023/2023-10-14T14-29-11],2024_super_B,"[[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1
  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[6, 30, 33, 35, 58]","[4, 27, 28, 31, 51, 57, 48]",[],Sat-14-10-2023,21
[23][M][readings/Sat-14-10-2023/2023-10-14T18-07-31],2024_super_B,"[[0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[6, 7, 30, 33, 58]","[4, 27, 28, 31, 51, 57, 48]",[],Sat-14-10-2023,22
[24][A][readings/Wed-18-10-2023/2023-10-15T14-05-32],2024_super_B,"[[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
  0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[6, 19, 35, 38, 58]","[6, 7, 8, 20, 34, 48, 38]","[6, 38]",Wed-18-10-2023,23
[25][C][readings/Wed-18-10-2023/2023-10-15T15-02-00],2024_super_B,"[[0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[5, 6, 14, 30, 46]","[6, 7, 8, 20, 34, 48, 38]",[6],Wed-18-10-2023,24
[26][N][readings/Wed-18-10-2023/2023-10-15T15-20-04],2024_super_B,"[[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
  0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]]","[6, 30, 40, 42, 58]","[6, 7, 8, 20, 34, 48, 38]",[6],Wed-18-10-2023,25
[27][M][readings/Sat-21-10-2023/2023-10-20T11-23-42],2024_super_B,"[[0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0]]","[6, 13, 19, 51, 58]","[14, 15, 26, 37, 43, 54, 6]",[6],Sat-21-10-2023,26
[28][M][readings/Sat-21-10-2023/2023-10-20T11-36-26],2024_super_B,"[[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0
  0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[3, 19, 29, 31, 39]","[14, 15, 26, 37, 43, 54, 6]",[],Sat-21-10-2023,27
[29][M][readings/Wed-25-10-2023/2023-10-24T18-59-05],2024_super_B,"[[0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0]]","[5, 7, 43, 48, 57]","[16, 20, 33, 41, 47, 59, 21]",[],Wed-25-10-2023,28
[30][A][readings/Wed-25-10-2023/2023-10-24T22-44-37],2024_super_B,"[[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
  0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0]]","[6, 19, 35, 49, 58]","[16, 20, 33, 41, 47, 59, 21]",[],Wed-25-10-2023,29
[31][C][readings/Sat-28-10-2023/2023-10-26T15-24-08],2024_super_B,"[[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0
  0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[5, 19, 27, 30, 46]","[25, 28, 37, 38, 42, 50, 6]",[],Sat-28-10-2023,30
[32][M][readings/Sat-28-10-2023/2023-10-26T21-12-29],2024_super_B,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
  0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0]]","[30, 42, 43, 52, 58]","[25, 28, 37, 38, 42, 50, 6]",[42],Sat-28-10-2023,31
[33][M][readings/Wed-01-11-2023/2023-10-31T21-22-18],2024_super_B,"[[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
  1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]]","[3, 16, 36, 42, 57]","[9, 15, 36, 37, 42, 43, 50]","[36, 42]",Wed-01-11-2023,32
